,alpha,gamma,b,loc,scale
218,0.9999999999999999,1.3,1.6517418750934332,-0.002188647701399726,1.1031793607874878
219,0.9999999999999999,1.4000000000000001,0.21367221127848723,-0.0008925499209579092,0.005209040070484288
220,0.9999999999999999,1.5,1.575416235797782,-0.001726971830993819,1.0609387436942455
221,0.9999999999999999,1.6,0.3163747029090081,0.0048916380385277194,0.02762132931974348
222,0.9999999999999999,1.7000000000000002,1.2989426243948796,0.0017764910390333985,0.002122007820924975
223,0.9999999999999999,1.8,1.5822269556246042,0.000644773129985197,1.020325291937883
224,0.9999999999999999,1.9000000000000001,1.6358848814474065,-0.0010686580329872138,1.0258383775124618
225,0.9999999999999999,2.0,0.3154912760520374,-0.03222275417119026,0.026348541277463063
226,0.9999999999999999,2.1,0.28850536509654784,0.0004311771226050275,0.019108003181345153
227,0.9999999999999999,2.2,0.20270818829354365,0.0004537499982790592,0.0044566196615982035
228,0.9999999999999999,2.3000000000000003,0.27887119475137534,0.004006087977283301,0.018926277409853434
229,0.9999999999999999,2.4000000000000004,1.5554549555447998,-0.001284141539597527,1.057221988803084
230,0.9999999999999999,2.5,0.28081739571914854,0.004257691255088375,0.016311902210533594
231,0.9999999999999999,2.6,0.23337638834618485,-0.004752644309169194,0.009939491380036237
232,0.9999999999999999,2.7,0.2083467692472475,0.004284819818407666,0.004445377865469765
233,0.9999999999999999,2.8000000000000003,0.19729732638782257,0.0003975704392764572,0.003983004312375454
234,0.9999999999999999,2.9000000000000004,0.28648518730243927,-0.02129864028893107,0.025034259224905243
235,0.9999999999999999,3.0,0.2290117762861787,0.006976378150323149,0.006171016834809064
236,0.9999999999999999,3.1,1.4682468176373855,0.00035600347512367405,1.0339160231736475
237,0.9999999999999999,3.2,0.2337510094084757,0.00041271395010910206,0.008215008772379875
238,0.9999999999999999,3.3000000000000003,0.1957176571533618,0.0041086132115360705,0.003454485231432329
239,0.9999999999999999,3.4000000000000004,0.19777744469920783,0.0003969593964710587,0.004037254844222213
240,0.9999999999999999,3.5,0.3455640311643343,-0.01460044632146364,0.0399105252461969
